Date,Open,High,Low,Close
Jul 15 2022,20588.84,21200,20382.29,20830.04
Jul 16 2022,20830.04,21588.94,20478.61,21195.6
Jul 17 2022,21195.6,21684.54,20750.01,20798.16
Jul 18 2022,20799.58,22777.63,20762.45,22432.58
Jul 19 2022,22432.58,23800,21579.54,23396.62
Jul 20 2022,23398.48,24276.74,22906.19,23223.3
Jul 21 2022,23223.3,23442.77,22341.46,23152.19
Jul 22 2022,23152.19,23756.49,22500,22684.83
Jul 23 2022,22684.83,23000.77,21934.57,22451.07
Jul 24 2022,22448.58,23014.64,22257.15,22579.68
Jul 25 2022,22577.13,22666,21250,21310.9
Jul 26 2022,21310.9,21347.82,20706.5,21254.67
Jul 27 2022,21254.67,23112.63,21042.53,22952.45
Jul 28 2022,22954.31,24199.72,22582.13,23842.93
Jul 29 2022,23845.25,24442.66,23414.03,23773.75
Jul 30 2022,23777.28,24668,23502.25,23643.51
Jul 31 2022,23644.64,24194.82,23227.31,23293.32
Aug 1 2022,23296.36,23509.68,22850,23268.01
Aug 2 2022,23266.9,23459.89,22654.37,22987.79
Aug 3 2022,22985.93,23647.68,22681.22,22818.37
Aug 4 2022,22816.91,23223.32,22400,22622.98
Aug 5 2022,22622.41,23472.86,22586.95,23312.42
Aug 6 2022,23313.56,23354.36,22909.52,22954.21
Aug 7 2022,22954.21,23402,22844.62,23174.39
Aug 8 2022,23174.39,24245,23154.25,23810
Aug 9 2022,23810.98,23933.25,22865,23149.95
Aug 10 2022,23151.32,24226,22664.69,23954.05
Aug 11 2022,23954.05,24918.54,23852.13,23934.39
Aug 12 2022,23933.09,24456.5,23583,24403.68
Aug 13 2022,24401.7,24888,24291.22,24441.38
Aug 14 2022,24443.06,25047.56,24144,24305.24
Aug 15 2022,24305.25,25211.32,23773.22,24094.82
Aug 16 2022,24093.04,24247.49,23671.22,23854.74
Aug 17 2022,23856.15,24446.71,23180.4,23342.66
Aug 18 2022,23342.66,23600,23111.04,23191.2
Aug 19 2022,23191.45,23208.67,20783.57,20834.39
Aug 20 2022,20834.39,21382.85,20761.9,21140.07
Aug 21 2022,21140.07,21800,21069.11,21515.61
Aug 22 2022,21516.7,21548.71,20890.18,21399.83
Aug 23 2022,21400.75,21684.87,20890.14,21529.12
Aug 24 2022,21529.11,21900,21145,21368.08
Aug 25 2022,21368.05,21819.88,21310.15,21559.04
Aug 26 2022,21559.04,21886.77,20107.9,20241.05
Aug 27 2022,20239.14,20402.93,19800,20037.6
Aug 28 2022,20037.6,20171.18,19520,19555.61
Aug 29 2022,19555.61,20433.62,19550.79,20285.73
Aug 30 2022,20287.2,20576.25,19540,19811.66
Aug 31 2022,19813.03,20490,19797.94,20050.02
Sep 1 2022,20048.44,20208.37,19565.66,20131.46
Sep 2 2022,20132.64,20441.26,19755.29,19951.86
Sep 3 2022,19950.98,20055.93,19652.72,19831.9
Sep 4 2022,19832.45,20029.23,19583.1,20000.3
Sep 5 2022,20000.3,20057.27,19633.83,19796.84
Sep 6 2022,19795.34,20180,18649.51,18790.61
Sep 7 2022,18790.61,19464.06,18510.77,19292.84
Sep 8 2022,19292.85,19458.25,19012,19319.77
Sep 9 2022,19320.54,21597.22,19291.75,21360.11
Sep 10 2022,21361.62,21810.8,21111.13,21648.34
Sep 11 2022,21647.21,21860,21350,21826.87
Sep 12 2022,21826.87,22488,21538.51,22395.74
Sep 13 2022,22395.44,22799,19860,20173.57
Sep 14 2022,20173.62,20541.48,19617.62,20226.71
Sep 15 2022,20227.17,20330.24,19497,19701.88
Sep 16 2022,19701.88,19890,19320.01,19803.3
Sep 17 2022,19803.3,20189,19748.08,20113.62
Sep 18 2022,20112.61,20117.26,19335.62,19416.18
Sep 19 2022,19417.45,19686.2,18232.56,19537.02
Sep 20 2022,19537.02,19634.62,18711.87,18875
Sep 21 2022,18874.31,19956,18125.98,18461.36
Sep 22 2022,18461.36,19550.17,18356.39,19401.63
Sep 23 2022,19401.63,19500,18531.42,19289.91
Sep 24 2022,19288.57,19316.14,18805.34,18920.5
Sep 25 2022,18921.99,19180.21,18629.2,18807.38
Sep 26 2022,18809.13,19318.96,18680.72,19227.82
Sep 27 2022,19226.68,20385.86,18816.32,19079.13
Sep 28 2022,19078.1,19790,18471.28,19412.82
Sep 29 2022,19412.82,19645.52,18843.01,19591.51
Sep 30 2022,19590.54,20185,19155.36,19422.61
Oct 1 2022,19422.61,19484,19159.42,19310.95
Oct 2 2022,19312.24,19395.91,18920.35,19056.8
Oct 3 2022,19057.74,19719.1,18959.68,19629.08
Oct 4 2022,19629.08,20475,19490.6,20337.82
Oct 5 2022,20337.82,20365.6,19730,20158.26
Oct 6 2022,20158.26,20456.6,19853,19960.67
Oct 7 2022,19960.67,20068.82,19320,19530.09
Oct 8 2022,19530.09,19627.38,19237.14,19417.96
Oct 9 2022,19416.52,19558,19316.04,19439.02
Oct 10 2022,19439.96,19525,19020.25,19131.87
Oct 11 2022,19131.87,19268.09,18860,19060
Oct 12 2022,19060,19238.31,18965.88,19155.53
Oct 13 2022,19155.1,19513.79,18190,19375.13
Oct 14 2022,19375.58,19951.87,19070.37,19176.93
Oct 15 2022,19176.93,19227.68,18975.18,19069.39
Oct 16 2022,19068.4,19425.84,19063.74,19262.98
Oct 17 2022,19262.98,19676.96,19152.03,19549.86
Oct 18 2022,19548.48,19706.66,19091,19327.44
Oct 19 2022,19327.44,19360.16,19065.97,19123.97
Oct 20 2022,19123.35,19347.82,18900,19041.92
Oct 21 2022,19041.92,19250,18650,19164.37
Oct 22 2022,19164.37,19257,19112.72,19204.35
Oct 23 2022,19204.29,19695,19070.11,19570.4
Oct 24 2022,19570.4,19601.15,19157,19329.72
Oct 25 2022,19330.6,20415.87,19237,20080.07
Oct 26 2022,20079.02,21020,20050.41,20771.59
Oct 27 2022,20771.61,20872.21,20200,20295.11
Oct 28 2022,20295.11,20750,20000.09,20591.84
Oct 29 2022,20591.84,21085,20554.01,20809.67
Oct 30 2022,20809.68,20931.21,20515,20627.48
Oct 31 2022,20627.48,20845.92,20237.95,20490.74
Nov 1 2022,20490.74,20700,20330.74,20483.62
Nov 2 2022,20482.81,20800,20048.04,20151.84
Nov 3 2022,20151.84,20393.32,20031.24,20207.82
Nov 4 2022,20207.12,21302.05,20180.96,21148.52
Nov 5 2022,21148.52,21480.65,21080.65,21299.37
Nov 6 2022,21299.37,21365.27,20886.13,20905.58
